zpid,price,bedrooms,bathrooms,livingArea,lotAreaValue,yearBuilt,homeType,latitude,longitude,city,zipcode,zestimate,rentZestimate,daysOnZillow,has_zestimate,has_rent_zestimate
350891297,449040,4.0,4.0,2949.0,6050.484,2024.0,SINGLE_FAMILY,29.553757,-95.75976,Richmond,77469,441800.0,2999.0,11,1,1
2082511069,2752000,6.0,7.0,6792.0,0.6186868686868687,2024.0,SINGLE_FAMILY,29.549185,-95.71655,Richmond,77469,376400.0,2400.0,250,0,1
27597115,279900,3.0,3.0,2051.0,4499.748,1981.0,SINGLE_FAMILY,29.571873,-95.56056,Missouri City,77459,266600.0,2236.0,91,1,1
351191133,558900,4.0,3.0,2916.0,6050.484,2024.0,SINGLE_FAMILY,29.51271,-95.72244,Richmond,77469,376400.0,2400.0,26,0,0
350326789,350000,4.0,3.0,2372.0,6050.484,2024.0,SINGLE_FAMILY,29.488487,-95.7664,Richmond,77469,341800.0,2500.0,17,1,1
349959419,484990,5.0,5.0,3308.0,6050.484,2024.0,SINGLE_FAMILY,29.5153,-95.7363,Rosenberg,77469,471200.0,3499.0,21,1,1
2055958753,339990,4.0,2.0,1937.0,6050.484,2024.0,SINGLE_FAMILY,29.493887,-95.77486,Richmond,77469,334400.0,2250.0,23,1,1
349480175,388990,4.0,3.0,2452.0,6050.484,2024.0,SINGLE_FAMILY,29.506746,-95.76597,Rosenberg,77469,381200.0,2500.0,12,1,1
344668901,460000,4.0,2.0,2100.0,7392.0,2018.0,SINGLE_FAMILY,29.505215,-95.72457,Rosenberg,77469,439600.0,2350.0,73,1,1
351191114,527900,4.0,3.0,2737.0,6050.484,2024.0,SINGLE_FAMILY,29.51271,-95.72244,Richmond,77469,376400.0,2400.0,41,0,0
122506165,299000,2.0,2.0,1523.0,5083.452,2014.0,SINGLE_FAMILY,29.56412,-95.73881,Richmond,77469,286500.0,1999.0,83,1,1
2054170807,358990,4.0,3.0,2067.0,6050.484,2024.0,SINGLE_FAMILY,29.556465,-95.76387,Richmond,77469,349000.0,2400.0,59,1,1
